id,t_date,code,name,p_open,p_high,p_low,p_close,volume,industrial
233020181105 ,2018/11/5,2330,台積電,233,235.5,232,235,25463,半導體業
233020181102 ,2018/11/2,2330,台積電,236.5,236.5,233.5,236.5,30783,半導體業
233020181101 ,2018/11/1,2330,台積電,236,237,233,235.5,42018,半導體業
233020181031 ,2018/10/31,2330,台積電,228,234,228,234,57373,半導體業
233020181030 ,2018/10/30,2330,台積電,221,225,220.5,223,28889,半導體業
233020181029 ,2018/10/29,2330,台積電,223,224,221,222.5,18464,半導體業
233020181026 ,2018/10/26,2330,台積電,223,224,217,221,38440,半導體業
233020181025 ,2018/10/25,2330,台積電,220.5,222,219.5,219.5,75524,半導體業
233020181024 ,2018/10/24,2330,台積電,230,231,227,229.5,44322,半導體業
233020181023 ,2018/10/23,2330,台積電,232,234,230,230,32828,半導體業
233020181022 ,2018/10/22,2330,台積電,232.5,238,231.5,237,29276,半導體業
233020181019 ,2018/10/19,2330,台積電,231,236.5,230,236,28358,半導體業
233020181018 ,2018/10/18,2330,台積電,238,239,235.5,236.5,25699,半導體業
233020181017 ,2018/10/17,2330,台積電,241.5,243,238,238.5,42543,半導體業
233020181016 ,2018/10/16,2330,台積電,229.5,237,229,237,37844,半導體業
233020181015 ,2018/10/15,2330,台積電,234,234,230.5,230.5,42327,半導體業
233020181012 ,2018/10/12,2330,台積電,231,237,229,237,47176,半導體業
233020181011 ,2018/10/11,2330,台積電,233.5,233.5,227,227.5,94590,半導體業
233020181009 ,2018/10/9,2330,台積電,243.5,245,242,244,28905,半導體業
233020181008 ,2018/10/8,2330,台積電,245.5,246.5,241,243.5,50939,半導體業
233020181005 ,2018/10/5,2330,台積電,250,253,248.5,250,40205,半導體業
233020181004 ,2018/10/4,2330,台積電,257,257.5,254,254,36409,半導體業
233020181003 ,2018/10/3,2330,台積電,257.5,260,257,260,25229,半導體業
233020181002 ,2018/10/2,2330,台積電,262,263,257,257.5,38391,半導體業
233020181001 ,2018/10/1,2330,台積電,262,264,261,263,22274,半導體業
233020180928 ,2018/9/28,2330,台積電,266,266,260,262.5,39626,半導體業
233020180927 ,2018/9/27,2330,台積電,264,266,262,265,38495,半導體業
233020180926 ,2018/9/26,2330,台積電,263,263.5,261,263.5,24859,半導體業
233020180925 ,2018/9/25,2330,台積電,261.5,264,260.5,263.5,24397,半導體業
233020180921 ,2018/9/21,2330,台積電,261.5,261.5,258,261.5,35013,半導體業
233020180920 ,2018/9/20,2330,台積電,261.5,261.5,257.5,260,29595,半導體業
233020180919 ,2018/9/19,2330,台積電,258,260,257,258,59228,半導體業
233020180918 ,2018/9/18,2330,台積電,256.5,257,254,254.5,33960,半導體業
233020180917 ,2018/9/17,2330,台積電,262.5,262.5,257,258,24766,半導體業
233020180914 ,2018/9/14,2330,台積電,257,261.5,257,261,37903,半導體業
233020180913 ,2018/9/13,2330,台積電,260,260,253.5,255,37576,半導體業
233020180912 ,2018/9/12,2330,台積電,261,262,258,260.5,37886,半導體業
233020180911 ,2018/9/11,2330,台積電,263,263.5,258,260,34350,半導體業
233020180910 ,2018/9/10,2330,台積電,266.5,266.5,262.5,264.5,41736,半導體業
233020180907 ,2018/9/7,2330,台積電,263,264,260.5,264,38664,半導體業
233020180906 ,2018/9/6,2330,台積電,268,268,261,261,35698,半導體業
233020180905 ,2018/9/5,2330,台積電,260,264.5,259,264,44864,半導體業
233020180904 ,2018/9/4,2330,台積電,258.5,259.5,255.5,257.5,34305,半導體業
233020180903 ,2018/9/3,2330,台積電,259,260,256.5,257,26757,半導體業
233020180831 ,2018/8/31,2330,台積電,257.5,259,254,256,69070,半導體業
233020180830 ,2018/8/30,2330,台積電,264.5,268,262.5,263.5,48958,半導體業
233020180829 ,2018/8/29,2330,台積電,253.5,259,253.5,259,56993,半導體業
233020180828 ,2018/8/28,2330,台積電,248.5,250,248,249.5,36793,半導體業
233020180827 ,2018/8/27,2330,台積電,246,246.5,244.5,245,15186,半導體業
233020180824 ,2018/8/24,2330,台積電,245.5,246,243,243.5,14356,半導體業
233020180823 ,2018/8/23,2330,台積電,243,244.5,243,244.5,14839,半導體業
233020180822 ,2018/8/22,2330,台積電,241.5,242.5,240.5,242,12614,半導體業
233020180821 ,2018/8/21,2330,台積電,239,241,238.5,241,12014,半導體業
233020180820 ,2018/8/20,2330,台積電,239.5,240,238,239.5,16960,半導體業
233020180817 ,2018/8/17,2330,台積電,239.5,241,239,239.5,18324,半導體業
233020180816 ,2018/8/16,2330,台積電,238,241.5,238,239,19156,半導體業
233020180815 ,2018/8/15,2330,台積電,244.5,244.5,239.5,241.5,18473,半導體業
233020180814 ,2018/8/14,2330,台積電,245,245,242.5,243.5,17359,半導體業
233020180813 ,2018/8/13,2330,台積電,241.5,243,239,240.5,17881,半導體業
233020180810 ,2018/8/10,2330,台積電,246.5,247,244.5,245,15890,半導體業
233020180809 ,2018/8/9,2330,台積電,247,248,246,247,15129,半導體業
233020180808 ,2018/8/8,2330,台積電,245,247.5,244.5,247.5,24382,半導體業
233020180807 ,2018/8/7,2330,台積電,245,245.5,241.5,241.5,23992,半導體業
233020180806 ,2018/8/6,2330,台積電,245,247,244,245.5,22365,半導體業
233020180803 ,2018/8/3,2330,台積電,246,248,245,247,24719,半導體業
233020180802 ,2018/8/2,2330,台積電,249,249.5,243.5,244.5,22402,半導體業
233020180801 ,2018/8/1,2330,台積電,247,248,246.5,248,29136,半導體業
233020180731 ,2018/7/31,2330,台積電,243.5,246,242,246,27059,半導體業
233020180730 ,2018/7/30,2330,台積電,244.5,245.5,244,245.5,22804,半導體業
233020180727 ,2018/7/27,2330,台積電,242,244.5,241,244.5,27130,半導體業
233020180726 ,2018/7/26,2330,台積電,241,242.5,239.5,241,30606,半導體業
233020180725 ,2018/7/25,2330,台積電,239,241,239,240.5,20963,半導體業
233020180724 ,2018/7/24,2330,台積電,240,241.5,238.5,241,27239,半導體業
233020180723 ,2018/7/23,2330,台積電,239,245,238.5,241,52257,半導體業
233020180720 ,2018/7/20,2330,台積電,235,237.5,233,237.5,97969,半導體業
233020180719 ,2018/7/19,2330,台積電,225.5,227,224.5,224.5,39661,半導體業
233020180718 ,2018/7/18,2330,台積電,223,224,222,223,39899,半導體業
233020180717 ,2018/7/17,2330,台積電,222.5,223.5,221,221.5,21548,半導體業
233020180716 ,2018/7/16,2330,台積電,224.5,225,223.5,223.5,15827,半導體業
233020180713 ,2018/7/13,2330,台積電,222.5,224.5,222.5,224.5,29716,半導體業
233020180712 ,2018/7/12,2330,台積電,218,222,218,220.5,23666,半導體業
233020180711 ,2018/7/11,2330,台積電,220,220,218,220,19855,半導體業
233020180710 ,2018/7/10,2330,台積電,223,224,222,222,20119,半導體業
233020180709 ,2018/7/9,2330,台積電,219.5,223,218.5,221.5,38753,半導體業
233020180706 ,2018/7/6,2330,台積電,217.5,217.5,215,217,29034,半導體業
233020180705 ,2018/7/5,2330,台積電,214,215,213,214.5,18225,半導體業
233020180704 ,2018/7/4,2330,台積電,217,217.5,215.5,216,15212,半導體業
233020180703 ,2018/7/3,2330,台積電,215.5,218,213.5,214.5,28323,半導體業
233020180702 ,2018/7/2,2330,台積電,218.5,219,214,214,32449,半導體業
233020180629 ,2018/6/29,2330,台積電,212,217,212,216.5,34314,半導體業
233020180628 ,2018/6/28,2330,台積電,211,214.5,210,212,37941,半導體業
233020180627 ,2018/6/27,2330,台積電,216,216,212.5,213,39888,半導體業
233020180626 ,2018/6/26,2330,台積電,215.5,216,212.5,214.5,38446,半導體業
233020180625 ,2018/6/25,2330,台積電,220,220.5,218,218,45025,半導體業
233020180622 ,2018/6/22,2330,台積電,224.5,227.5,224,227.5,43581,半導體業
233020180621 ,2018/6/21,2330,台積電,227.5,228,226,226.5,31243,半導體業
233020180620 ,2018/6/20,2330,台積電,224.5,227.5,223.5,226,40709,半導體業
233020180619 ,2018/6/19,2330,台積電,225.5,226,224,225,56890,半導體業
233020180615 ,2018/6/15,2330,台積電,225,231,224,231,48060,半導體業
233020180614 ,2018/6/14,2330,台積電,230,230,226.5,226.5,33408,半導體業
233020180613 ,2018/6/13,2330,台積電,229,232,228,232,28945,半導體業
233020180612 ,2018/6/12,2330,台積電,225,229,224,229,29501,半導體業
233020180611 ,2018/6/11,2330,台積電,226.5,227,225,226,21697,半導體業
233020180608 ,2018/6/8,2330,台積電,229,229,226,227,23549,半導體業
233020180607 ,2018/6/7,2330,台積電,231,231.5,228,230,24958,半導體業
233020180606 ,2018/6/6,2330,台積電,229,230,227,230,24767,半導體業
233020180605 ,2018/6/5,2330,台積電,230,230,226.5,229,26535,半導體業
233020180604 ,2018/6/4,2330,台積電,227.5,229,227,229,25959,半導體業
233020180601 ,2018/6/1,2330,台積電,224.5,226.5,224,224,27618,半導體業
233020180531 ,2018/5/31,2330,台積電,221.5,224,220.5,224,96069,半導體業
233020180530 ,2018/5/30,2330,台積電,224,224,220.5,221,49164,半導體業
233020180529 ,2018/5/29,2330,台積電,226.5,226.5,223.5,225,23765,半導體業
233020180528 ,2018/5/28,2330,台積電,229.5,230,226.5,227,16373,半導體業
233020180525 ,2018/5/25,2330,台積電,228.5,229.5,228,228.5,15971,半導體業
233020180524 ,2018/5/24,2330,台積電,229.5,230,228.5,229,12997,半導體業
233020180523 ,2018/5/23,2330,台積電,231.5,231.5,228.5,228.5,23063,半導體業
233020180522 ,2018/5/22,2330,台積電,230,233.5,229,229,22355,半導體業
233020180521 ,2018/5/21,2330,台積電,225,230,225,229,16128,半導體業
233020180518 ,2018/5/18,2330,台積電,225.5,227.5,223.5,223.5,27665,半導體業
233020180517 ,2018/5/17,2330,台積電,231,231.5,226.5,226.5,26853,半導體業
233020180516 ,2018/5/16,2330,台積電,229.5,230.5,228.5,230.5,14410,半導體業
233020180515 ,2018/5/15,2330,台積電,233.5,234,229.5,230.5,23772,半導體業
233020180514 ,2018/5/14,2330,台積電,234.5,234.5,232.5,233,19921,半導體業
233020180511 ,2018/5/11,2330,台積電,232,234,230.5,233,30694,半導體業
233020180510 ,2018/5/10,2330,台積電,231,231.5,229,229.5,27530,半導體業
233020180509 ,2018/5/9,2330,台積電,228.5,232,228.5,229.5,33779,半導體業
233020180508 ,2018/5/8,2330,台積電,224,228.5,223.5,228,40325,半導體業
233020180507 ,2018/5/7,2330,台積電,225,225.5,221.5,223.5,23269,半導體業
233020180504 ,2018/5/4,2330,台積電,221,224,220.5,223,27209,半導體業
233020180503 ,2018/5/3,2330,台積電,221,222.5,220,220.5,31691,半導體業
233020180502 ,2018/5/2,2330,台積電,227,227.5,222.5,223,38168,半導體業
233020180430 ,2018/4/30,2330,台積電,224.5,228,222.5,227,28501,半導體業
233020180427 ,2018/4/27,2330,台積電,225,225.5,221,223.5,34174,半導體業
233020180426 ,2018/4/26,2330,台積電,225,225.5,221,222,48024,半導體業
233020180425 ,2018/4/25,2330,台積電,225.5,226,224,225,46771,半導體業
233020180424 ,2018/4/24,2330,台積電,225,227.5,225,227,40968,半導體業
233020180423 ,2018/4/23,2330,台積電,226.5,227.5,225,226.5,71010,半導體業
233020180420 ,2018/4/20,2330,台積電,228,231.5,228,229,128452,半導體業
233020180419 ,2018/4/19,2330,台積電,242,244.5,241,244.5,31902,半導體業
233020180418 ,2018/4/18,2330,台積電,239.5,241.5,236.5,238,42500,半導體業
233020180417 ,2018/4/17,2330,台積電,243,243.5,237.5,238,42756,半導體業
233020180416 ,2018/4/16,2330,台積電,243,244,242,243.5,18350,半導體業
233020180413 ,2018/4/13,2330,台積電,246,246,244,244.5,19743,半導體業
233020180412 ,2018/4/12,2330,台積電,248.5,248.5,244,245,20410,半導體業
233020180411 ,2018/4/11,2330,台積電,246.5,248.5,246.5,248,21608,半導體業
233020180410 ,2018/4/10,2330,台積電,244.5,249,243.5,245.5,25157,半導體業
233020180409 ,2018/4/9,2330,台積電,248,248,243.5,245,34695,半導體業
233020180403 ,2018/4/3,2330,台積電,243,244.5,242,244,35814,半導體業
233020180402 ,2018/4/2,2330,台積電,248.5,249,245,246.5,17696,半導體業
233020180331 ,2018/3/31,2330,台積電,247.5,249,246.5,247.5,3604,半導體業
233020180330 ,2018/3/30,2330,台積電,247.5,249.5,246,246,16968,半導體業
233020180329 ,2018/3/29,2330,台積電,243,247,242.5,244,36165,半導體業
233020180328 ,2018/3/28,2330,台積電,247.5,248,244,245,29637,半導體業
233020180327 ,2018/3/27,2330,台積電,248,251,247,251,31008,半導體業
233020180326 ,2018/3/26,2330,台積電,241.5,244.5,241.5,243.5,36988,半導體業
233020180323 ,2018/3/23,2330,台積電,245,247,244,245,52498,半導體業
233020180322 ,2018/3/22,2330,台積電,254.5,254.5,249.5,251.5,27001,半導體業
233020180321 ,2018/3/21,2330,台積電,255,255,251,252.5,28977,半導體業
233020180320 ,2018/3/20,2330,台積電,253,254,251.5,253,21840,半導體業
233020180319 ,2018/3/19,2330,台積電,252.5,255.5,251,255,21441,半導體業
233020180316 ,2018/3/16,2330,台積電,253,256,249.5,255,62929,半導體業
233020180315 ,2018/3/15,2330,台積電,258,258,255,255,19396,半導體業
233020180314 ,2018/3/14,2330,台積電,256.5,257.5,255.5,257,23773,半導體業
