t_date,code,p_open,p_high,p_low,p_close,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred,pred_up,pred_down
2017/2/3,2891,17.85,17.9,17.75,17.85,45098,7709301,-10695,119,-657,1.11,9.55,9.02,¥­,0,0
2017/2/6,2891,17.85,18,17.8,18,52056,7699939,-9363,0,6347,1.12,9.63,8.94,º¦,1,0
2017/2/7,2891,18.05,18.2,18.05,18.15,116795,7716422,15679,-479,-1322,1.13,9.71,8.87,º¦,1,0
2017/2/8,2891,18.15,18.15,17.95,18,63336,7696941,-19482,-1,1315,1.12,9.63,8.94,¶^,0,1
2017/2/9,2891,18.15,18.4,18.1,18.3,96269,7704003,7010,713,2266,1.14,9.79,8.8,º¦,1,0
2017/2/10,2891,18.5,18.6,18.4,18.45,123408,7713556,9359,9838,8300,1.15,9.87,8.73,º¦,1,0
2017/2/13,2891,18.6,18.65,18.5,18.65,82188,7747069,33407,2027,-1801,1.16,9.97,8.63,º¦,1,0
2017/2/14,2891,18.7,18.8,18.45,18.6,121855,7788661,39515,3799,1474,1.16,9.95,8.66,¶^,0,1
2017/2/15,2891,18.7,18.7,18.5,18.6,65693,7793961,5289,1162,1765,1.16,9.95,8.66,¥­,0,0
2017/2/16,2891,18.75,18.85,18.6,18.7,67797,7792729,-1231,638,-1000,1.17,10,8.61,º¦,1,0
2017/2/17,2891,18.65,18.75,18.6,18.7,42952,7806083,13312,92,-449,1.17,10,8.61,¥­,0,0
2017/2/18,2891,18.7,18.75,18.65,18.7,21583,7806425,342,0,-379,1.17,10,8.61,¥­,0,0
2017/2/20,2891,18.65,18.7,18.55,18.6,43846,7807952,1407,798,1576,1.16,9.95,8.66,¶^,0,1
2017/2/21,2891,18.6,18.65,18.35,18.45,54887,7804911,-3124,356,2656,1.15,9.87,8.73,¶^,0,1
2017/2/22,2891,18.45,18.6,18.4,18.45,49662,7802852,-1218,3891,433,1.15,9.87,8.73,¥­,0,0
2017/2/23,2891,18.45,18.55,18.3,18.45,66726,7812450,9598,-109,3955,1.15,9.87,8.73,¥­,0,0
2017/2/24,2891,18.45,18.45,18.3,18.35,53935,7806880,-5570,238,3834,1.15,9.81,8.77,¶^,0,1
2017/3/1,2891,18.4,18.45,18.3,18.4,54632,7807825,946,-25,2407,1.15,9.84,8.75,º¦,1,0
2017/3/2,2891,18.55,18.65,18.45,18.55,53376,7820484,12549,922,749,1.16,9.92,8.68,º¦,1,0
2017/3/3,2891,18.55,18.6,18.4,18.5,62128,7827488,6798,237,-107,1.15,9.89,8.7,¶^,0,1
2017/3/6,2891,18.5,18.6,18.5,18.55,24420,7834385,6897,100,135,1.16,9.92,8.68,º¦,1,0
2017/3/7,2891,18.55,18.6,18.45,18.55,37369,7839294,4860,1278,1323,1.16,9.92,8.68,¥­,0,0
2017/3/8,2891,18.55,18.65,18.5,18.6,36053,7846980,7685,0,227,1.16,9.95,8.66,º¦,1,0
2017/3/9,2891,18.7,18.7,18.55,18.6,52156,7860608,13629,120,-162,1.16,9.95,8.66,¥­,0,0
2017/3/10,2891,18.6,18.75,18.55,18.7,47225,7872246,11638,-18,727,1.17,10,8.61,º¦,1,0
2017/3/13,2891,18.8,18.85,18.75,18.8,46413,7878812,6565,120,2427,1.17,10.05,8.56,º¦,1,0
2017/3/14,2891,18.7,18.75,18.4,18.65,94641,7896151,17340,1010,-936,1.16,9.97,8.63,¶^,0,1
2017/3/15,2891,18.65,18.95,18.65,18.9,69589,7914606,18655,0,-17,1.18,10.11,8.52,º¦,1,0
2017/3/16,2891,18.95,18.95,18.8,18.95,38036,7928462,13750,0,-2438,1.18,10.13,8.5,º¦,1,0
