t_date,p_close,code,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred_days
2014/8/28,19.8,2884,12979,3615352,4982,67,963,1.28,12.69,5.86,E
2014/8/29,19.65,2884,19712,3620703,764,1703,294,1.26,12.6,5.9,E
2014/9/1,19.5,2884,15971,3620156,-394,274,-1566,1.25,13.18,5.95,E
2014/9/2,19.45,2884,10096,3623527,3371,0,-1655,1.25,13.14,5.96,E
2014/9/3,19.75,2884,11565,3643987,7972,34,-1849,1.26,13.34,5.87,E
2014/9/4,19.85,2884,15287,3655623,11741,588,-855,1.27,13.41,5.84,E
2014/9/5,19.8,2884,12935,3658433,2049,38,137,1.27,13.38,5.86,E
2014/9/9,19.9,2884,12386,3664470,6271,16,-575,1.27,13.45,5.83,E
2014/9/10,19.55,2884,7451,3663628,-2841,0,-353,1.25,13.21,5.93,D
2014/9/11,19.7,2884,8535,3667935,4307,55,-230,1.26,13.31,5.89,E
2014/9/12,19.4,2884,7757,3667006,-929,96,34,1.24,13.11,5.98,D
2014/9/15,19.55,2884,7460,3987240,3153,6,-811,1.25,13.21,5.93,D
2014/9/16,19.4,2884,5347,3987652,412,15,-79,1.24,13.11,5.98,E
2014/9/17,19.35,2884,10085,3987123,418,20,641,1.24,13.07,5.99,D
2014/9/18,19.4,2884,4202,3988308,1348,0,125,1.24,13.11,5.98,E
2014/9/19,19.3,2884,12006,3983914,-4394,953,-1054,1.24,13.04,6.01,D
2014/9/22,19.1,2884,21825,3987523,1486,31,-2893,1.22,12.91,6.07,D
2014/9/23,19.15,2884,8337,3988369,1406,7,-1658,1.23,12.94,6.06,D
2014/9/24,19.05,2884,7645,3987213,-986,6,-18,1.22,12.87,6.09,D
2014/9/25,19,2884,7801,3988050,-2241,0,639,1.22,12.84,6.11,D
2014/9/26,18.8,2884,8407,3986355,-3202,0,-404,1.2,12.7,6.17,D
2014/9/29,18.5,2884,17431,3979235,-9417,0,-1083,1.18,12.5,6.27,B
2014/9/30,18.45,2884,16446,3974764,-4123,59,-621,1.18,12.47,6.29,B
2014/10/1,18.3,2884,10860,3967175,-7834,0,-65,1.17,12.36,6.34,B
2014/10/2,18.7,2884,13778,3970254,3079,4,-581,1.2,12.64,6.2,B
2014/10/3,19.05,2884,8091,3972328,2074,300,-1197,1.22,12.87,6.09,B
2014/10/6,18.9,2884,8591,3972940,-1173,15,-601,1.21,12.77,6.14,B
2014/10/7,19.1,2884,12685,3978007,5067,5,-973,1.22,12.91,6.07,B
2014/10/8,18.8,2884,7431,3979558,1551,3,-637,1.2,12.7,6.17,B
2014/10/9,18.8,2884,15931,3976967,-1591,-3,-446,1.2,12.7,6.17,B
2014/10/13,18.7,2884,7808,3981026,4059,0,-752,1.2,12.64,6.2,B
2014/10/14,18.8,2884,10283,3984424,3398,0,-882,1.2,12.7,6.17,B
2014/10/15,18.35,2884,8982,3981218,-3206,10,-494,1.17,12.4,6.32,A
2014/10/16,18.65,2884,8838,3981663,445,0,-1127,1.19,12.6,6.22,B
2014/10/17,18.15,2884,15328,3978969,-2440,7,-594,1.16,12.26,6.39,A
2014/10/20,18.65,2884,7454,3982802,3742,0,-1678,1.19,12.6,6.22,B
