id,t_date,code,name,p_open,p_high,p_low,p_close,volume
1.1022E+11,2019/7/19,1102,亞泥,46.2,46.65,46.1,46.2,11560
4.9382E+11,2019/7/24,4938,和碩,55.8,56.4,55.7,56.1,5442
4.9382E+11,2019/7/23,4938,和碩,55.8,56.1,55.8,55.9,3413
4.9382E+11,2019/7/22,4938,和碩,55.7,56,55.6,55.8,3073
4.9382E+11,2019/7/19,4938,和碩,55.7,56,55.5,55.6,4663
2.3272E+11,2019/7/24,2327,國巨,259.5,260.5,255,255.5,3495
2.3272E+11,2019/7/23,2327,國巨,255,258.5,254,255,4604
2.3272E+11,2019/7/22,2327,國巨,256,258,252,253,4186
2.3272E+11,2019/7/19,2327,國巨,261.5,262.5,256.5,257.5,4321
9.9042E+11,2019/7/24,9904,寶成,39.2,39.6,39.05,39.45,7167
9.9042E+11,2019/7/23,9904,寶成,39.05,39.4,38.8,39.2,6212
9.9042E+11,2019/7/22,9904,寶成,39.25,39.3,38.95,39.15,5133
9.9042E+11,2019/7/19,9904,寶成,38.9,39.5,38.9,39.2,9416
2.3952E+11,2019/7/24,2395,研華,269,271.5,265.5,266,970
2.3952E+11,2019/7/23,2395,研華,261,270,260.5,269.5,925
2.3952E+11,2019/7/22,2395,研華,261.5,262,260,260.5,383
2.3952E+11,2019/7/19,2395,研華,259,261,257,261,224
2.3012E+11,2019/7/24,2301,光寶科,43.5,43.9,43.5,43.7,3511
2.3012E+11,2019/7/23,2301,光寶科,43.1,43.75,43.05,43.7,7313
2.3012E+11,2019/7/22,2301,光寶科,43.7,43.95,42.6,43,17404
2.3012E+11,2019/7/19,2301,光寶科,47.1,47.6,46.9,47.1,8064
2.6332E+11,2019/7/24,2633,台灣高鐵,42.5,42.7,42.05,42.15,8305
2.6332E+11,2019/7/23,2633,台灣高鐵,43.15,43.75,42.8,43.45,10508
2.6332E+11,2019/7/22,2633,台灣高鐵,44,44,43.15,43.15,8226
2.6332E+11,2019/7/19,2633,台灣高鐵,44,44.15,43.7,43.8,4139
2.4092E+11,2019/7/24,2409,友達,8.93,8.96,8.9,8.9,25035
2.4092E+11,2019/7/23,2409,友達,8.98,9,8.92,8.93,30377
2.4092E+11,2019/7/22,2409,友達,9.02,9.06,8.96,8.96,22909
2.4092E+11,2019/7/19,2409,友達,9.14,9.15,9.01,9.01,40552
9.9102E+11,2019/7/24,9910,豐泰,215,215,212.5,212.5,1138
9.9102E+11,2019/7/23,9910,豐泰,212,217,211.5,215,2491
9.9102E+11,2019/7/22,9910,豐泰,235,237.5,234.5,237,1742
9.9102E+11,2019/7/19,9910,豐泰,233.5,234.5,232,233.5,911
2.1052E+11,2019/7/24,2105,正新,39.65,39.8,39.65,39.65,2346
2.1052E+11,2019/7/23,2105,正新,39.45,39.8,39.4,39.65,2892
2.1052E+11,2019/7/22,2105,正新,39.5,39.6,39.3,39.45,4076
2.1052E+11,2019/7/19,2105,正新,40.25,40.4,40.1,40.4,4115
2.8232E+11,2019/7/24,2823,中壽,26.05,26.2,25.85,25.85,6480
2.8232E+11,2019/7/23,2823,中壽,26.2,26.3,26.1,26.15,9057
2.8232E+11,2019/7/22,2823,中壽,26.25,26.3,26.1,26.15,6526
2.8232E+11,2019/7/19,2823,中壽,26,26.25,25.95,26.25,8246
2.4082E+11,2019/7/24,2408,南亞科,71.7,72,70.3,71.8,28809
2.4082E+11,2019/7/23,2408,南亞科,71.3,72.9,71.3,72.3,41537
2.4082E+11,2019/7/22,2408,南亞科,68.6,70,68.6,69.8,39338
2.4082E+11,2019/7/19,2408,南亞科,67.9,68.4,66.8,67.7,15352
